datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
2/11/2006 22:00,bozeman,mt,us,fireball,15,15 sec,Fireball of green/orange seen above SW Montana.,2/14/2006,45.6797222,-111.0377778
2/12/2013 19:30,harrison,mt,us,diamond,120,2 minutes,Harrison MT  UFO,2/18/2013,45.7008333,-111.7855556
2/12/2014 20:40,missoula,mt,us,fireball,300,5 minutes,8 flaming red lights moving across the sky,2/14/2014,46.8722222,-113.9930556
2/13/2014 21:38,butte,mt,us,light,900,15 minutes,Multiple white flying objects flying in night sky.,2/14/2014,46.0038889,-112.5338889
2/13/2014 21:38,butte,mt,us,light,900,15 minutes,White/organge lights moving in night sky,2/21/2014,46.0038889,-112.5338889
2/18/2003 18:20,billings,mt,us,cross,120,several minutes,two black objects seemed like they fluttered,3/11/2003,45.7833333,-108.5000000
2/18/2007 20:00,hays,mt,us,fireball,600,10 minutes,Moving&#44 red&#44 yellow&#44 orange&#44 blue&#44 green dancing and blinking in the western sky near Hays.  ((NUFORC Note:  Venus??  PD)),2/24/2007,47.9891667,-108.6936111
2/18/2014 22:30,lame deer,mt,us,unknown,600,10 minutes,Orange lights slowly from south to north.,2/21/2014,45.6230556,-106.6661111
2/19/2008 06:50,stevensville,mt,us,unknown,2,2 seconds,Moving bright object over St. Mary&#39s Peak. ((NUFORC Note:  Dramatic meteor at 05:28 hrs..  PD)),3/4/2008,46.5100000,-114.0922222
2/20/1976 22:00,baker,mt,us,oval,1200,20 minutes,mysterious light follows car at a distance and shoots down into the valley,3/11/2006,46.3669444,-104.2841667
2/20/1998 20:30,kalispell,mt,us,light,180,2 to 3 minutes,I saw a orange light slightly brighter and bigger than a star travelling in a direction of ESE.,1/28/1999,48.1958333,-114.3119444
2/21/2008 01:38,butte,mt,us,light,600,10 mins,Strange Light Over Timber Butte,3/4/2008,46.0038889,-112.5338889
2/2/2014 22:00,billings,mt,us,light,60,1 minutes,Bright red light traveling skyward at great speed.  Many tight movements upwards&#44 unlike what man-made craft could possibly do.  Light,2/7/2014,45.7833333,-108.5000000
2/24/2004 22:30,lodge grass,mt,us,light,120,several minutes,During the evening of February 24&#44 2004&#44 the town of Lodge Grass was surprised to see several lights hovering above the cemetary.  This,3/2/2004,45.3144444,-107.3625000
2/25/2005 02:00,seeley lake,mt,us,light,1800,30 minutes +,((NUFORC Note:  We have amended the date above.  We suspect a sighting of Sirius.  PD)) Unusual ball(s) of light in Montana sky,5/24/2005,47.1794444,-113.4836111
2/26/2009 21:15,santa rita,mt,us,oval,1200,20 minutes,oval shaped object over Rocky Mountains,3/19/2009,48.7005556,-112.3191667
2/28/1986 06:00,victor,mt,us,circle,480,8 min.,Just below the mountain top a light appeared. After a few seconds the light became larger slowly came east 15ft off the ground then cli,5/24/1999,46.4166667,-114.1491667
2/3/2008 19:30,billings,mt,us,light,300,5 minutes,Very bright light&#44 slow moving object that made no audible noise.,2/14/2008,45.7833333,-108.5000000
2/4/2003 18:20,billings,mt,us,changing,180,3min.,Glowing object appears to be  luminiscent balloon but dissappears rapidly to the SE at high speed.,3/11/2003,45.7833333,-108.5000000
2/5/2014 19:30,columbia falls,mt,us,light,600,5-10 minutes,Extremely bright light south west of Columbia Falls,2/7/2014,48.3725000,-114.1805556
2/7/2013 23:45,paradise,mt,us,other,300,5 minutes,Strange light(s) in sky with interesting trajectory vanishes into nothingness.,2/18/2013,47.3894444,-114.8011111
2/7/2014 17:30,hamilton,mt,us,oval,3,2-3 seconds,Green org zoomed over Hamilton while still daylight.,2/14/2014,46.2469444,-114.1594444
2/7/2014 18:00,bozeman,mt,us,circle,3,3 seconds,Saw a bright green superbollide meteor&#44 visible during twilight.  Green.,2/14/2014,45.6797222,-111.0377778
2/8/2008 18:00,havre,mt,us,triangle,9000,2.5 hours,Mutiple wtinesses see UFO over Havre Montana,2/14/2008,48.5500000,-109.6833333
2/8/2012 19:00,florence,mt,us,unknown,600,10 min.,Bright light above Florence&#44 Mt.,2/10/2012,46.6316667,-114.0780556
2/9/2002 19:45,boulder,mt,us,oval,5,<5 seconds,Glimpse of large bright object low to horizon in trajectory disappearing behind ridge.,3/19/2002,46.2366667,-112.1200000
3/10/1989 22:30,sheridan,mt,us,,300,a good 5 min.,a rollercoaster exploding star evrywidely twisting outword &amp; back into one very bright  orangeishred light &#44then it was gone.,9/17/2000,45.4555556,-112.1961111
3/10/2010 00:23,huson,mt,us,circle,120,several minutes,Three large circular crafts moving towards Missoula.,4/13/2010,47.0313889,-114.3263889
3/10/2012 23:00,hardin,mt,us,flash,1200,20 minutes,Flashing light moving fast changing color.  ((NUFORC Note:  Possible sighting of Sirius??  PD)),5/13/2012,45.7325000,-107.6113889
3/11/2010 19:30,havre,mt,us,light,1800,30 minutes,Multiple sightings in the Havre area&#44 3 known witnesses,4/13/2010,48.5500000,-109.6833333
3/11/2010 19:30,havre,mt,us,other,3600,1 hour,3 Bright yellow lights and 2 small red ones,4/13/2010,48.5500000,-109.6833333
3/1/1999 18:30,butte,mt,us,disk,3,3 seconds,Small disk in a blizzard totally unaffected,8/5/2001,46.0038889,-112.5338889
3/13/1997 20:35,libby,mt,us,light,90,1.5 minutes,fuzzy ball of light  hovers then rapidly streaks  accross the sky in a southernly direction/8:35PM 3/13/97,3/2/2004,48.3883333,-115.5550000
3/14/2003 19:00,great falls,mt,us,unknown,2,seconds,Light Explosion,12/7/2006,47.5002778,-111.3000000
3/14/2010 20:30,bozeman,mt,us,light,300,5 mins,Bright light in sky then fades,4/13/2010,45.6797222,-111.0377778
3/14/2010 21:30,great falls,mt,us,light,4,3-4 seconds,2 or 3 orange lights moved from west to east over Great Falls&#44 MT&#44 very fast&#44 silent&#44 March 14/15&#44 2010,4/13/2010,47.5002778,-111.3000000
3/14/2012 23:00,anaconda,mt,us,triangle,300,5 minutes,Something Triangle shape with red and white lights circling the ground,3/16/2012,46.1286111,-112.9413889
