date,timestamp,year,month,count
1956-12,1956-12-01T00:00:00Z,1956,Dec,1
1957-1,1957-01-01T00:00:00Z,1957,Jan,1
1957-3,1957-03-01T00:00:00Z,1957,Mar,3
1957-5,1957-05-01T00:00:00Z,1957,May,2
1957-6,1957-06-01T00:00:00Z,1957,June,16
1957-7,1957-07-01T00:00:00Z,1957,July,13
1957-8,1957-08-01T00:00:00Z,1957,Aug,9
1957-9,1957-09-01T00:00:00Z,1957,Sept,8
1957-10,1957-10-01T00:00:00Z,1957,Oct,6
1957-11,1957-11-01T00:00:00Z,1957,Nov,2
1957-12,1957-12-01T00:00:00Z,1957,Dec,2
1958-1,1958-01-01T00:00:00Z,1958,Jan,1
1958-2,1958-02-01T00:00:00Z,1958,Feb,1
1958-4,1958-04-01T00:00:00Z,1958,April,2
1958-5,1958-05-01T00:00:00Z,1958,May,4
1958-6,1958-06-01T00:00:00Z,1958,June,17
1958-7,1958-07-01T00:00:00Z,1958,July,5
1958-8,1958-08-01T00:00:00Z,1958,Aug,4
1958-9,1958-09-01T00:00:00Z,1958,Sept,3
1958-10,1958-10-01T00:00:00Z,1958,Oct,3
1958-11,1958-11-01T00:00:00Z,1958,Nov,2
1959-1,1959-01-01T00:00:00Z,1959,Jan,1
1959-4,1959-04-01T00:00:00Z,1959,April,3
1959-5,1959-05-01T00:00:00Z,1959,May,4
1959-6,1959-06-01T00:00:00Z,1959,June,13
1959-7,1959-07-01T00:00:00Z,1959,July,7
1959-8,1959-08-01T00:00:00Z,1959,Aug,5
1959-9,1959-09-01T00:00:00Z,1959,Sept,3
1959-10,1959-10-01T00:00:00Z,1959,Oct,3
1959-11,1959-11-01T00:00:00Z,1959,Nov,2
1959-12,1959-12-01T00:00:00Z,1959,Dec,2
1960-1,1960-01-01T00:00:00Z,1960,Jan,1
1960-2,1960-02-01T00:00:00Z,1960,Feb,3
1960-3,1960-03-01T00:00:00Z,1960,Mar,1
1960-4,1960-04-01T00:00:00Z,1960,April,1
1960-5,1960-05-01T00:00:00Z,1960,May,2
1960-6,1960-06-01T00:00:00Z,1960,June,18
1960-7,1960-07-01T00:00:00Z,1960,July,5
1960-8,1960-08-01T00:00:00Z,1960,Aug,11
1960-9,1960-09-01T00:00:00Z,1960,Sept,5
1960-10,1960-10-01T00:00:00Z,1960,Oct,1
1960-11,1960-11-01T00:00:00Z,1960,Nov,3
1961-1,1961-01-01T00:00:00Z,1961,Jan,2
1961-2,1961-02-01T00:00:00Z,1961,Feb,2
1961-4,1961-04-01T00:00:00Z,1961,April,2
1961-5,1961-05-01T00:00:00Z,1961,May,1
1961-6,1961-06-01T00:00:00Z,1961,June,11
1961-7,1961-07-01T00:00:00Z,1961,July,6
1961-8,1961-08-01T00:00:00Z,1961,Aug,6
1961-9,1961-09-01T00:00:00Z,1961,Sept,2
1961-10,1961-10-01T00:00:00Z,1961,Oct,6
1961-11,1961-11-01T00:00:00Z,1961,Nov,2
1961-12,1961-12-01T00:00:00Z,1961,Dec,1
1962-1,1962-01-01T00:00:00Z,1962,Jan,1
1962-2,1962-02-01T00:00:00Z,1962,Feb,1
1962-3,1962-03-01T00:00:00Z,1962,Mar,5
1962-5,1962-05-01T00:00:00Z,1962,May,4
1962-6,1962-06-01T00:00:00Z,1962,June,15
1962-7,1962-07-01T00:00:00Z,1962,July,12
1962-8,1962-08-01T00:00:00Z,1962,Aug,9
1962-9,1962-09-01T00:00:00Z,1962,Sept,4
1962-10,1962-10-01T00:00:00Z,1962,Oct,1
1962-11,1962-11-01T00:00:00Z,1962,Nov,3
