date,timestamp,year,month,count
1990-12,1990-12-01T00:00:00Z,1990,Dec,8
1991-1,1991-01-01T00:00:00Z,1991,Jan,5
1991-2,1991-02-01T00:00:00Z,1991,Feb,4
1991-3,1991-03-01T00:00:00Z,1991,Mar,9
1991-4,1991-04-01T00:00:00Z,1991,April,10
1991-5,1991-05-01T00:00:00Z,1991,May,17
1991-6,1991-06-01T00:00:00Z,1991,June,34
1991-7,1991-07-01T00:00:00Z,1991,July,27
1991-8,1991-08-01T00:00:00Z,1991,Aug,22
1991-9,1991-09-01T00:00:00Z,1991,Sept,18
1991-10,1991-10-01T00:00:00Z,1991,Oct,13
1991-11,1991-11-01T00:00:00Z,1991,Nov,13
1991-12,1991-12-01T00:00:00Z,1991,Dec,8
1992-1,1992-01-01T00:00:00Z,1992,Jan,3
1992-2,1992-02-01T00:00:00Z,1992,Feb,6
1992-3,1992-03-01T00:00:00Z,1992,Mar,3
1992-4,1992-04-01T00:00:00Z,1992,April,17
1992-5,1992-05-01T00:00:00Z,1992,May,14
1992-6,1992-06-01T00:00:00Z,1992,June,40
1992-7,1992-07-01T00:00:00Z,1992,July,25
1992-8,1992-08-01T00:00:00Z,1992,Aug,24
1992-9,1992-09-01T00:00:00Z,1992,Sept,13
1992-10,1992-10-01T00:00:00Z,1992,Oct,22
1992-11,1992-11-01T00:00:00Z,1992,Nov,9
1992-12,1992-12-01T00:00:00Z,1992,Dec,7
1993-1,1993-01-01T00:00:00Z,1993,Jan,8
1993-2,1993-02-01T00:00:00Z,1993,Feb,9
1993-3,1993-03-01T00:00:00Z,1993,Mar,10
1993-4,1993-04-01T00:00:00Z,1993,April,11
1993-5,1993-05-01T00:00:00Z,1993,May,20
1993-6,1993-06-01T00:00:00Z,1993,June,53
1993-7,1993-07-01T00:00:00Z,1993,July,28
1993-8,1993-08-01T00:00:00Z,1993,Aug,32
1993-9,1993-09-01T00:00:00Z,1993,Sept,16
1993-10,1993-10-01T00:00:00Z,1993,Oct,15
1993-11,1993-11-01T00:00:00Z,1993,Nov,13
1993-12,1993-12-01T00:00:00Z,1993,Dec,13
1994-1,1994-01-01T00:00:00Z,1994,Jan,13
1994-2,1994-02-01T00:00:00Z,1994,Feb,3
1994-3,1994-03-01T00:00:00Z,1994,Mar,17
1994-4,1994-04-01T00:00:00Z,1994,April,20
1994-5,1994-05-01T00:00:00Z,1994,May,22
1994-6,1994-06-01T00:00:00Z,1994,June,54
1994-7,1994-07-01T00:00:00Z,1994,July,36
1994-8,1994-08-01T00:00:00Z,1994,Aug,39
1994-9,1994-09-01T00:00:00Z,1994,Sept,25
1994-10,1994-10-01T00:00:00Z,1994,Oct,45
1994-11,1994-11-01T00:00:00Z,1994,Nov,23
1994-12,1994-12-01T00:00:00Z,1994,Dec,27
1995-1,1995-01-01T00:00:00Z,1995,Jan,63
1995-2,1995-02-01T00:00:00Z,1995,Feb,52
1995-3,1995-03-01T00:00:00Z,1995,Mar,72
1995-4,1995-04-01T00:00:00Z,1995,April,54
1995-5,1995-05-01T00:00:00Z,1995,May,67
1995-6,1995-06-01T00:00:00Z,1995,June,114
1995-7,1995-07-01T00:00:00Z,1995,July,97
1995-8,1995-08-01T00:00:00Z,1995,Aug,121
1995-9,1995-09-01T00:00:00Z,1995,Sept,80
1995-10,1995-10-01T00:00:00Z,1995,Oct,72
1995-11,1995-11-01T00:00:00Z,1995,Nov,85
1995-12,1995-12-01T00:00:00Z,1995,Dec,38
1996-1,1996-01-01T00:00:00Z,1996,Jan,35
1996-2,1996-02-01T00:00:00Z,1996,Feb,43
1996-3,1996-03-01T00:00:00Z,1996,Mar,46
1996-4,1996-04-01T00:00:00Z,1996,April,68
1996-5,1996-05-01T00:00:00Z,1996,May,58
1996-6,1996-06-01T00:00:00Z,1996,June,86
1996-7,1996-07-01T00:00:00Z,1996,July,53
1996-8,1996-08-01T00:00:00Z,1996,Aug,53
1996-9,1996-09-01T00:00:00Z,1996,Sept,37
1996-10,1996-10-01T00:00:00Z,1996,Oct,44
1996-11,1996-11-01T00:00:00Z,1996,Nov,64
1996-12,1996-12-01T00:00:00Z,1996,Dec,59
1997-1,1997-01-01T00:00:00Z,1997,Jan,34
1997-2,1997-02-01T00:00:00Z,1997,Feb,35
1997-3,1997-03-01T00:00:00Z,1997,Mar,144
1997-4,1997-04-01T00:00:00Z,1997,April,68
1997-5,1997-05-01T00:00:00Z,1997,May,79
1997-6,1997-06-01T00:00:00Z,1997,June,126
1997-7,1997-07-01T00:00:00Z,1997,July,159
1997-8,1997-08-01T00:00:00Z,1997,Aug,85
1997-9,1997-09-01T00:00:00Z,1997,Sept,39
1997-10,1997-10-01T00:00:00Z,1997,Oct,86
1997-11,1997-11-01T00:00:00Z,1997,Nov,96
1997-12,1997-12-01T00:00:00Z,1997,Dec,58
1998-1,1998-01-01T00:00:00Z,1998,Jan,60
1998-2,1998-02-01T00:00:00Z,1998,Feb,61
1998-3,1998-03-01T00:00:00Z,1998,Mar,107
1998-4,1998-04-01T00:00:00Z,1998,April,93
1998-5,1998-05-01T00:00:00Z,1998,May,80
1998-6,1998-06-01T00:00:00Z,1998,June,135
1998-7,1998-07-01T00:00:00Z,1998,July,117
1998-8,1998-08-01T00:00:00Z,1998,Aug,119
1998-9,1998-09-01T00:00:00Z,1998,Sept,172
1998-10,1998-10-01T00:00:00Z,1998,Oct,167
1998-11,1998-11-01T00:00:00Z,1998,Nov,161
1998-12,1998-12-01T00:00:00Z,1998,Dec,132
1999-1,1999-01-01T00:00:00Z,1999,Jan,102
1999-2,1999-02-01T00:00:00Z,1999,Feb,126
1999-3,1999-03-01T00:00:00Z,1999,Mar,122
1999-4,1999-04-01T00:00:00Z,1999,April,111
1999-5,1999-05-01T00:00:00Z,1999,May,137
1999-6,1999-06-01T00:00:00Z,1999,June,191
1999-7,1999-07-01T00:00:00Z,1999,July,212
1999-8,1999-08-01T00:00:00Z,1999,Aug,221
1999-9,1999-09-01T00:00:00Z,1999,Sept,290
1999-10,1999-10-01T00:00:00Z,1999,Oct,250
1999-11,1999-11-01T00:00:00Z,1999,Nov,344
1999-12,1999-12-01T00:00:00Z,1999,Dec,147
2000-1,2000-01-01T00:00:00Z,2000,Jan,165
2000-2,2000-02-01T00:00:00Z,2000,Feb,149
2000-3,2000-03-01T00:00:00Z,2000,Mar,172
2000-4,2000-04-01T00:00:00Z,2000,April,142
2000-5,2000-05-01T00:00:00Z,2000,May,128
2000-6,2000-06-01T00:00:00Z,2000,June,183
2000-7,2000-07-01T00:00:00Z,2000,July,260
2000-8,2000-08-01T00:00:00Z,2000,Aug,203
2000-9,2000-09-01T00:00:00Z,2000,Sept,221
2000-10,2000-10-01T00:00:00Z,2000,Oct,228
2000-11,2000-11-01T00:00:00Z,2000,Nov,178
2000-12,2000-12-01T00:00:00Z,2000,Dec,155
2001-1,2001-01-01T00:00:00Z,2001,Jan,181
2001-2,2001-02-01T00:00:00Z,2001,Feb,167
2001-3,2001-03-01T00:00:00Z,2001,Mar,212
2001-4,2001-04-01T00:00:00Z,2001,April,157
2001-5,2001-05-01T00:00:00Z,2001,May,167
2001-6,2001-06-01T00:00:00Z,2001,June,214
2001-7,2001-07-01T00:00:00Z,2001,July,272
2001-8,2001-08-01T00:00:00Z,2001,Aug,276
2001-9,2001-09-01T00:00:00Z,2001,Sept,257
2001-10,2001-10-01T00:00:00Z,2001,Oct,186
2001-11,2001-11-01T00:00:00Z,2001,Nov,205
2001-12,2001-12-01T00:00:00Z,2001,Dec,151
2002-1,2002-01-01T00:00:00Z,2002,Jan,162
2002-2,2002-02-01T00:00:00Z,2002,Feb,182
2002-3,2002-03-01T00:00:00Z,2002,Mar,139
2002-4,2002-04-01T00:00:00Z,2002,April,131
2002-5,2002-05-01T00:00:00Z,2002,May,169
2002-6,2002-06-01T00:00:00Z,2002,June,228
2002-7,2002-07-01T00:00:00Z,2002,July,262
2002-8,2002-08-01T00:00:00Z,2002,Aug,307
2002-9,2002-09-01T00:00:00Z,2002,Sept,254
2002-10,2002-10-01T00:00:00Z,2002,Oct,222
2002-11,2002-11-01T00:00:00Z,2002,Nov,218
2002-12,2002-12-01T00:00:00Z,2002,Dec,165
2003-1,2003-01-01T00:00:00Z,2003,Jan,216
2003-2,2003-02-01T00:00:00Z,2003,Feb,167
2003-3,2003-03-01T00:00:00Z,2003,Mar,111
2003-4,2003-04-01T00:00:00Z,2003,April,143
2003-5,2003-05-01T00:00:00Z,2003,May,146
2003-6,2003-06-01T00:00:00Z,2003,June,206
2003-7,2003-07-01T00:00:00Z,2003,July,282
2003-8,2003-08-01T00:00:00Z,2003,Aug,348
2003-9,2003-09-01T00:00:00Z,2003,Sept,370
2003-10,2003-10-01T00:00:00Z,2003,Oct,347
2003-11,2003-11-01T00:00:00Z,2003,Nov,354
2003-12,2003-12-01T00:00:00Z,2003,Dec,268
2004-1,2004-01-01T00:00:00Z,2004,Jan,195
2004-2,2004-02-01T00:00:00Z,2004,Feb,204
2004-3,2004-03-01T00:00:00Z,2004,Mar,276
2004-4,2004-04-01T00:00:00Z,2004,April,247
2004-5,2004-05-01T00:00:00Z,2004,May,270
2004-6,2004-06-01T00:00:00Z,2004,June,280
2004-7,2004-07-01T00:00:00Z,2004,July,302
2004-8,2004-08-01T00:00:00Z,2004,Aug,393
2004-9,2004-09-01T00:00:00Z,2004,Sept,292
2004-10,2004-10-01T00:00:00Z,2004,Oct,343
2004-11,2004-11-01T00:00:00Z,2004,Nov,221
2004-12,2004-12-01T00:00:00Z,2004,Dec,221
2005-1,2005-01-01T00:00:00Z,2005,Jan,188
2005-2,2005-02-01T00:00:00Z,2005,Feb,208
2005-3,2005-03-01T00:00:00Z,2005,Mar,244
2005-4,2005-04-01T00:00:00Z,2005,April,230
2005-5,2005-05-01T00:00:00Z,2005,May,204
2005-6,2005-06-01T00:00:00Z,2005,June,284
2005-7,2005-07-01T00:00:00Z,2005,July,318
2005-8,2005-08-01T00:00:00Z,2005,Aug,245
2005-9,2005-09-01T00:00:00Z,2005,Sept,396
2005-10,2005-10-01T00:00:00Z,2005,Oct,385
2005-11,2005-11-01T00:00:00Z,2005,Nov,338
2005-12,2005-12-01T00:00:00Z,2005,Dec,188
2006-1,2006-01-01T00:00:00Z,2006,Jan,157
2006-2,2006-02-01T00:00:00Z,2006,Feb,169
2006-3,2006-03-01T00:00:00Z,2006,Mar,224
2006-4,2006-04-01T00:00:00Z,2006,April,228
2006-5,2006-05-01T00:00:00Z,2006,May,203
2006-6,2006-06-01T00:00:00Z,2006,June,219
2006-7,2006-07-01T00:00:00Z,2006,July,268
2006-8,2006-08-01T00:00:00Z,2006,Aug,300
2006-9,2006-09-01T00:00:00Z,2006,Sept,217
2006-10,2006-10-01T00:00:00Z,2006,Oct,310
2006-11,2006-11-01T00:00:00Z,2006,Nov,311
2006-12,2006-12-01T00:00:00Z,2006,Dec,278
2007-1,2007-01-01T00:00:00Z,2007,Jan,331
2007-2,2007-02-01T00:00:00Z,2007,Feb,195
2007-3,2007-03-01T00:00:00Z,2007,Mar,268
2007-4,2007-04-01T00:00:00Z,2007,April,225
2007-5,2007-05-01T00:00:00Z,2007,May,219
2007-6,2007-06-01T00:00:00Z,2007,June,312
2007-7,2007-07-01T00:00:00Z,2007,July,354
2007-8,2007-08-01T00:00:00Z,2007,Aug,341
2007-9,2007-09-01T00:00:00Z,2007,Sept,336
2007-10,2007-10-01T00:00:00Z,2007,Oct,327
2007-11,2007-11-01T00:00:00Z,2007,Nov,295
2007-12,2007-12-01T00:00:00Z,2007,Dec,267
2008-1,2008-01-01T00:00:00Z,2008,Jan,362
2008-2,2008-02-01T00:00:00Z,2008,Feb,287
2008-3,2008-03-01T00:00:00Z,2008,Mar,269
2008-4,2008-04-01T00:00:00Z,2008,April,356
2008-5,2008-05-01T00:00:00Z,2008,May,247
2008-6,2008-06-01T00:00:00Z,2008,June,376
2008-7,2008-07-01T00:00:00Z,2008,July,421
2008-8,2008-08-01T00:00:00Z,2008,Aug,385
2008-9,2008-09-01T00:00:00Z,2008,Sept,289
2008-10,2008-10-01T00:00:00Z,2008,Oct,421
2008-11,2008-11-01T00:00:00Z,2008,Nov,354
2008-12,2008-12-01T00:00:00Z,2008,Dec,250
2009-1,2009-01-01T00:00:00Z,2009,Jan,373
2009-2,2009-02-01T00:00:00Z,2009,Feb,295
2009-3,2009-03-01T00:00:00Z,2009,Mar,254
2009-4,2009-04-01T00:00:00Z,2009,April,234
2009-5,2009-05-01T00:00:00Z,2009,May,257
2009-6,2009-06-01T00:00:00Z,2009,June,293
2009-7,2009-07-01T00:00:00Z,2009,July,448
2009-8,2009-08-01T00:00:00Z,2009,Aug,362
2009-9,2009-09-01T00:00:00Z,2009,Sept,474
2009-10,2009-10-01T00:00:00Z,2009,Oct,246
2009-11,2009-11-01T00:00:00Z,2009,Nov,235
2009-12,2009-12-01T00:00:00Z,2009,Dec,206
2010-1,2010-01-01T00:00:00Z,2010,Jan,194
2010-2,2010-02-01T00:00:00Z,2010,Feb,133
2010-3,2010-03-01T00:00:00Z,2010,Mar,199
2010-4,2010-04-01T00:00:00Z,2010,April,213
2010-5,2010-05-01T00:00:00Z,2010,May,251
2010-6,2010-06-01T00:00:00Z,2010,June,264
2010-7,2010-07-01T00:00:00Z,2010,July,675
2010-8,2010-08-01T00:00:00Z,2010,Aug,394
2010-9,2010-09-01T00:00:00Z,2010,Sept,350
2010-10,2010-10-01T00:00:00Z,2010,Oct,379
2010-11,2010-11-01T00:00:00Z,2010,Nov,274
2010-12,2010-12-01T00:00:00Z,2010,Dec,222
2011-1,2011-01-01T00:00:00Z,2011,Jan,250
2011-2,2011-02-01T00:00:00Z,2011,Feb,219
2011-3,2011-03-01T00:00:00Z,2011,Mar,254
2011-4,2011-04-01T00:00:00Z,2011,April,245
2011-5,2011-05-01T00:00:00Z,2011,May,238
2011-6,2011-06-01T00:00:00Z,2011,June,316
2011-7,2011-07-01T00:00:00Z,2011,July,622
2011-8,2011-08-01T00:00:00Z,2011,Aug,507
2011-9,2011-09-01T00:00:00Z,2011,Sept,441
2011-10,2011-10-01T00:00:00Z,2011,Oct,511
2011-11,2011-11-01T00:00:00Z,2011,Nov,355
2011-12,2011-12-01T00:00:00Z,2011,Dec,421
2012-1,2012-01-01T00:00:00Z,2012,Jan,446
2012-2,2012-02-01T00:00:00Z,2012,Feb,309
2012-3,2012-03-01T00:00:00Z,2012,Mar,428
2012-4,2012-04-01T00:00:00Z,2012,April,406
2012-5,2012-05-01T00:00:00Z,2012,May,393
2012-6,2012-06-01T00:00:00Z,2012,June,601
2012-7,2012-07-01T00:00:00Z,2012,July,758
2012-8,2012-08-01T00:00:00Z,2012,Aug,693
2012-9,2012-09-01T00:00:00Z,2012,Sept,579
2012-10,2012-10-01T00:00:00Z,2012,Oct,530
2012-11,2012-11-01T00:00:00Z,2012,Nov,634
2012-12,2012-12-01T00:00:00Z,2012,Dec,543
2013-1,2013-01-01T00:00:00Z,2013,Jan,298
2013-2,2013-02-01T00:00:00Z,2013,Feb,232
2013-3,2013-03-01T00:00:00Z,2013,Mar,317
2013-4,2013-04-01T00:00:00Z,2013,April,328
2013-5,2013-05-01T00:00:00Z,2013,May,432
2013-6,2013-06-01T00:00:00Z,2013,June,487
2013-7,2013-07-01T00:00:00Z,2013,July,775
2013-8,2013-08-01T00:00:00Z,2013,Aug,707
2013-9,2013-09-01T00:00:00Z,2013,Sept,619
2013-10,2013-10-01T00:00:00Z,2013,Oct,611
2013-11,2013-11-01T00:00:00Z,2013,Nov,634
2013-12,2013-12-01T00:00:00Z,2013,Dec,616
